query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (547,'Amber',102);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4502,'Amberpet',507);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (7552,'Ambika',459);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3247,'Ambikapur',389);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5719,'Ambur',732);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1157,'Amdabad',201);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (2322,'Amdanga',303);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (6276,'Ameenpur',691);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4497,'Ameerpet',507);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (641,'Amet',112);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (914,'Amethi',640);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4047,'Amgaon',476);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (2072,'Amguri',300);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5620,'Amini',553);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (7161,'Aminjikarai',568);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3736,'Amirgadh',441);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3605,'Amla',394);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1998,'Amlarem',275);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (7307,'Amlipadar',645);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (222,'Amloh',30);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1261,'Amnour',218);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3914,'Amod',442);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1138,'Amour',214);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4578,'Amrabad',694);; affectedRows: 1
