query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (302432,22,'Gaurela-Pendra-Marwahi');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (338,22,'Janjgir-Champa');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (339,22,'Jashpur');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (341,22,'Kabirdham');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (340,22,'Kanker');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (302434,22,'Khairagarh-Chhuikhadan-Gandai');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (272735,22,'Kondagaon');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (342,22,'Korba');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (343,22,'Korea');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (344,22,'Mahasamund');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (302436,22,'Manendragarh-Chirmiri-Bharatpur');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (302435,22,'Mohla-Manpur-Ambagarh Chouki');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (272738,22,'Mungeli');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (581,22,'Narayanpur');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (345,22,'Raigarh');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (346,22,'Raipur');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (347,22,'Rajnandgaon');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (302437,22,'Sakti');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (302433,22,'Sarangarh-Bilaigarh');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (272734,22,'Sukma');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (272739,22,'Surajpur');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (348,22,'Surguja');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (506,30,'North Goa');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (507,30,'South Goa');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (397,24,'Ahmedabad');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (398,24,'Amreli');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (399,24,'Anand');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (274433,24,'Arvalli');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (400,24,'Banas Kantha');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (401,24,'Bharuch');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (402,24,'Bhavnagar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (274434,24,'Botad');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (274432,24,'Chhotaudepur');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (404,24,'Dahod');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (403,24,'Dangs');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (274431,24,'Devbhumi Dwarka');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (405,24,'Gandhinagar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (274436,24,'Gir Somnath');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (406,24,'Jamnagar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (407,24,'Junagadh');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (408,24,'Kachchh');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (409,24,'Kheda');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (410,24,'Mahesana');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (274435,24,'Mahisagar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (274430,24,'Morbi');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (411,24,'Narmada');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (412,24,'Navsari');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (413,24,'Panch Mahals');; affectedRows: 1
