query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Memari' AND local_body_id='250039';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Midnapore' AND local_body_id='250230';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Murshidabad' AND local_body_id='249998';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Nabadwip' AND local_body_id='250097';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Naihati' AND local_body_id='250124';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Nalhati' AND local_body_id='253250';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='New Barrackpore' AND local_body_id='250139';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='North Barrackpore' AND local_body_id='250131';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='North Dum Dum' AND local_body_id='250142';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Old Malda' AND local_body_id='249990';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Panihati' AND local_body_id='250138';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Panskura' AND local_body_id='253229';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Pujali' AND local_body_id='250302';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Purulia' AND local_body_id='250215';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Raghunathpur' AND local_body_id='250213';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Raiganj' AND local_body_id='249983';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Rajpur Sonarpur' AND local_body_id='250303';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Ramjibanpur' AND local_body_id='250225';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Rampurhat' AND local_body_id='250024';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Ranaghat' AND local_body_id='250101';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Rishra' AND local_body_id='250177';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sainthia' AND local_body_id='250025';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Santipur' AND local_body_id='250099';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Serampore' AND local_body_id='250176';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sonamukhi' AND local_body_id='250208';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='South Dum Dum' AND local_body_id='250144';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Suri' AND local_body_id='250026';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Taki' AND local_body_id='250148';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Tamralipta' AND local_body_id='250233';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Tarakeswar' AND local_body_id='250169';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Titagarh' AND local_body_id='250133';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Tufanganj' AND local_body_id='249976';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Uluberia' AND local_body_id='250248';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Uttarpara Kotrung' AND local_body_id='250179';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified area Council' WHERE local_body_name='Cooper S Camp' AND local_body_id='250102';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified area Council' WHERE local_body_name='Mirik' AND local_body_id='249948';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified area Council' WHERE local_body_name='Taherpur' AND local_body_id='250098';; affectedRows: 1
