query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Adda Devigarh' AND local_body_id='299458';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Amargarh' AND local_body_id='273471';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Arniwala Shekh Suban' AND local_body_id='277198';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Baba Bakala' AND local_body_id='299457';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Badhni Kalan' AND local_body_id='248344';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Bariwala' AND local_body_id='248358';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Begowal' AND local_body_id='248280';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Bhadson' AND local_body_id='261762';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Bhagta Bhai Ka Nagar Panchayat' AND local_body_id='276562';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Bhai Rupa' AND local_body_id='260770';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Bhikhi' AND local_body_id='248375';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Bhikhiwind' AND local_body_id='248275';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Bhulath' AND local_body_id='248281';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Bilga' AND local_body_id='277200';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Boha' AND local_body_id='277199';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Chamkaur Sahib' AND local_body_id='261450';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Cheema' AND local_body_id='248388';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Dhilwan' AND local_body_id='248282';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Dirba' AND local_body_id='248389';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Fatehgarh Panjtoor' AND local_body_id='276647';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Ghagga' AND local_body_id='248394';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Ghanaur' AND local_body_id='248402';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Gharuan' AND local_body_id='299456';; affectedRows: 1
